%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
-0.6880406820293352 -0.038855977258346996 -0.22197420277690325
-0.7038941904005309 -0.043576083692599354 -0.22604081371670848
-0.7067345394254065 -0.03850850782470161 -0.22454371929034408
-0.7218442332644956 -0.04322265354784882 -0.22857882100620464
-0.7185786767805773 -0.03399973674036261 -0.22472120116452288
-0.7330655237206267 -0.03867652487968165 -0.2287762256505196
-0.7472437298437171 -0.04337617449376907 -0.23272602471783752
-0.7610952807960718 -0.048102138592620136 -0.23658459126581244
-0.7746094224611157 -0.05285654851145338 -0.24036065101428614
-0.787780776724258 -0.05764084559615412 -0.24406094059426686
-0.7412467083740584 -0.015581472865092039 -0.22202559786731213
-0.7414602733306097 -0.01137457071333614 -0.2209314663465816
-0.7240914793507969 0.0 -0.21270732932829792
-0.7370463105403431 -0.003908481994454149 -0.21715665738394785
-0.7483128381358553 -0.006987374442060101 -0.22074677514602623
-0.7594832474622644 -0.010132978896724154 -0.22421379286652113
-0.7721666177859934 -0.014368387654165815 -0.22827141956316604
-0.7830206483914735 -0.017513152767055118 -0.2315188706642133
-0.7953326327708075 -0.02174558489206113 -0.235390488690021
-0.8074194343826582 -0.02601748760299749 -0.23917287413609892
-0.8064069032964252 -0.021360804883617135 -0.237370077865459
-0.8086016480916856 -0.019438497919020747 -0.23709165103949265
-0.7851763546653068 -0.0007404640700059417 -0.2261436932312247
-0.7917825613506402 -0.0018334780914468496 -0.2281595356520879
-0.8032963680171621 -0.006215958554387058 -0.23216829795693206
-0.8138590066283182 -0.010023186326757028 -0.23570496829056586
-0.7924560779676497 0.0 -0.2258995620194526
-0.7856832914265581 0.0 -0.22264976324487454
-0.7874347076078854 0.0 -0.22290958781393386
-0.7979791977898714 -0.0030254700421235015 -0.22671071679842345
-0.8076264802852444 -0.005657560138178752 -0.230034367351893
-0.738474754603966 0.0 -0.20257214394028286
-0.7164850173547705 0.0 -0.19517163613922026
-0.7285007828532271 -0.0035617077291281163 -0.20027645719031192
-0.6874206064431423 0.0 -0.18591012307216442
-0.6810213014254387 0.0 -0.1845924747134971
-0.693969974452413 -0.0035617077291245636 -0.19001972362859396
-0.6917608130447075 0.0 -0.1893251549254715
-0.6924539007976911 0.0 -0.18977501292090918
-0.6932721897568275 0.0 -0.19019226199399397
-0.6870657760001357 0.0 -0.18809732413308827
-0.7006814830090615 -0.00356170900713515 -0.19324891485278534
-0.6601621913929279 0.0 -0.1790294343252646
-0.6741188552595769 -0.003561707729117458 -0.18462185110002707
-0.6859837542578155 -0.005855727341543826 -0.1890711103291204
-0.6999320126631581 -0.009619218081043712 -0.19412821448112516
-0.6852794597474432 0.0 -0.18799866350216607
-0.6992331141889476 -0.0035678855831928757 -0.19310939586004522
-0.7131102338430981 -0.007283997310283397 -0.19798889194853986
-0.6884648052220381 0.0 -0.18816309817215685
-0.7023220834378865 -0.0035617116400477045 -0.19327994190036024
