 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 10:39:10 2020 nblocks = 0ET = 3.0
drained notdrained mean
-0.8746225611486329 -0.011374570897523029 -0.23417516094825494
-0.8589408880211975 0.0 -0.2259535930335719
-0.8743122804135144 -0.00390848200737004 -0.23048476173566215
-0.8879007950829516 -0.006987374471693286 -0.2341548923168166
-0.9013428660895562 -0.010132978943394377 -0.23770354941672348
-0.9162924479116326 -0.014368387717748732 -0.24184842463982018
-0.9293184493105455 -0.017513152847991265 -0.24517920800100995
-0.9437955620527276 -0.0217455849915833 -0.24913873604765796
-0.9579942067707545 -0.026017487723175137 -0.25300901536447923
-0.9586872232378836 -0.021360805028383112 -0.25125884023292216
-0.9626235291266187 -0.01943849809155651 -0.25103940503864713
-0.9401743313009705 -0.0007404642750898915 -0.2400761055029076
-0.9485424405390264 -0.0018334782815632167 -0.24215341590015027
-0.9619160178628254 -0.006215958748715167 -0.24623787567782934
-0.9742696033494065 -0.010023186537889472 -0.24984873960839635
-0.9536916847741699 0.0 -0.24002535672536263
-0.9481122121781054 0.0 -0.23679025448874855
-0.9512638817047936 0.0 -0.2370869400948121
-0.963432792173843 -0.003025470044043743 -0.24095192746060892
-0.9746416235963871 -0.005657560145442275 -0.24433899137450094
-0.9046387251904298 0.0 -0.21669019709531168
-0.8831266350558771 0.0 -0.20920432073972045
-0.8966763981732093 -0.0035617077291281163 -0.2143381059818338
-0.8553824916833097 0.0 -0.19981406374572294
-0.8498477868473335 0.0 -0.19843631384513813
-0.8642646057392067 -0.0035617077291245636 -0.20388114477959693
-0.863006797248179 0.0 -0.20316651599436183
-0.8647176246878843 0.0 -0.20360699626291967
-0.8665303513709812 0.0 -0.2040178963218096
-0.8610522129108595 0.0 -0.20189207984729665
-0.8760394328310106 -0.00356170900713515 -0.20708200904092477
-0.8350229498346309 0.0 -0.19271155480443536
-0.8502571647587844 -0.003561707729117458 -0.19832143127222943
-0.8633573995289101 -0.005855727341543826 -0.20279821543700688
-0.878618218337702 -0.009619218081045489 -0.20790052361068537
-0.8642634847298023 0.0 -0.20172775624071448
-0.8794704168381084 -0.0035678855831910994 -0.20688266421659637
-0.8945823709574228 -0.007283997310283397 -0.21181419968774087
-0.8697932309645635 0.0 -0.20191620737406232
-0.8848238798710586 -0.0035617116400477045 -0.20707662556836087
-0.8884494043404549 -5.512972123256077e-07 -0.20770188614035703
-0.8902639991373213 0.0 -0.2077396519475702
-0.9025321933349151 -0.001947009096809893 -0.21166913461156076
-0.9158468521285821 -0.004822824755526867 -0.21589263514953735
-0.8335808809152123 0.0 -0.18729608881321416
-0.8384837184167964 0.0 -0.18970885185336483
-0.8535949686444697 -0.0035645444575909124 -0.1954100320697397
-0.868756186483159 -0.007273173119616061 -0.20080228570554373
-0.8838852262291734 -0.011042793127877815 -0.20595448209878098
-0.8989123455145078 -0.014849724148989552 -0.21090861017293352
-0.8731574293330215 0.0 -0.20034945476995186
-0.8881009392929107 -0.00356321859897335 -0.2055508432502066
-0.9029518926973541 -0.007271030607284956 -0.21051787836274277
-0.8502421794856794 0.0 -0.19161257088134273
-0.7831535130879237 0.0 -0.17232959508590465
-0.7119900756961659 0.0 -0.15556683287860124
-0.7282992480152553 -0.003561707729117458 -0.16355943303246442
-0.7450474534222122 -0.007265312409538538 -0.17070439850567928
-0.7493639551333375 -0.0026520518946853144 -0.1727489790221146
-0.7593747135248421 -0.0017211586806347157 -0.1765673871752995
-0.7767642896139328 -0.005658959262229146 -0.18274607941403503
-0.7749555177858163 0.0 -0.18155094746887057
-0.792397293586192 -0.0036586089137191635 -0.1874405990298805
-0.809760483287115 -0.007501051632740285 -0.19303515741504315
-0.8269734073951795 -0.011410937561720402 -0.19839070005584614
-0.8310628777070015 -0.006972805717754937 -0.19852121045632046
-0.8472223903694127 -0.010496851746982117 -0.2034200858334
-0.8560917867143907 -0.009484464266190429 -0.20537034267821574
-0.8590050452406812 -0.004802915647111661 -0.205038979104114
-0.8684417651203766 -0.0044995087131827205 -0.207357421536834
-0.8811876537454948 -0.0065155035849180365 -0.2109590912256051
-0.8838499052628377 -0.0022282441643053374 -0.21059043314584217
-0.892769975809216 -0.0021833484249018653 -0.2127736116705433
-0.9080598009243426 -0.006431280121368843 -0.21746574199613325
-0.7128625301278291 0.0 -0.15489598251613068
-0.7289902765202747 -0.003561707729117458 -0.16315457309597667
-0.7216225536796417 0.0 -0.16250696643263435
-0.7316092653082391 0.0 -0.16718971937037164
-0.7382707403053761 0.0 -0.1702273922114204
-0.7431230365056045 0.0 -0.17234931626088354
-0.7563906970722192 -0.0006342871152487106 -0.17705250480225365
-0.770363290620506 -0.0019108576085589135 -0.1816755509731107
-0.7854608153818088 -0.004034220375206843 -0.1864679227642827
-0.7823721965186978 0.0 -0.18443374711452007
-0.7958307271118894 -0.0008569468975867522 -0.18855471494656406
-0.8091554110946761 -0.0019168297375582455 -0.1924554531604184
-0.8264689167126527 -0.005780527962471638 -0.197775073569711
-0.8385410467470438 -0.006418495009601344 -0.20093954949878898
-0.8553880260139834 -0.01032279269066727 -0.20595330908034853
-0.8690920362081309 -0.012399188574788056 -0.20966907522548153
-0.8749123654005784 -0.00961489108778224 -0.2102653382851206
-0.8778902840859839 -0.0051966421851350475 -0.2098649273552955
